crawling_status,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3031028,28800,32000,3200,10,러닝하이,글리터 RH 로고 레이서 백 탑 [블랙],,4.8,340,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4148431,23620,29900,6280,21,바우로 프로덕트,[무료반품] 리브드 로고 슬리브리스 [그레이],,4.9,849,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4579726,35600,64500,28900,45,카미드,카미드 머슬핏 로고 슬리브리스,,4.9,134,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5067656,9200,9800,600,6,지오다노,[변우석착용] 슬리브리스 머슬티 025560 [4color],,4.8,96,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4147802,39900,39900,0,0,뉴발란스,[세트] NBNGF2A013 / UNI ESS 레이어드 슬리브리스 (2PACK) (MIX),,4.9,153,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5084567,19990,30000,10010,33,인더스트,시그니처 리브드 슬리브리스_3COLOR,,5.0,5,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3956942,13990,29900,15910,53,트라이,T-맨즈 에어 후레쉬 스포츠 런닝 3PACK,,4.6,42,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5046741,56000,59000,3000,5,에이치덱스,에센셜 리브드 피그먼트 바디핏 탱크 (Pigment Charcoal),,5.0,4,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5068881,27900,39000,11100,28,드릭스,피그먼트 머슬핏 데미지 슬리브리스_4color,,4.7,41,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4915406,44100,49000,4900,10,나이키,[무료반품] 드라이 핏 하이버스 민소매 피트니스 탱크 M - 블랙:화이트 / DV9842-010,,5.0,4,TOP,1011,M,success
